#  ID         RA  (2000)  DEC       L       B     R_Sun  R_gc    X     Y     Z   E(B-V) V_HB (m-M)V   V_t   M_Vt  HBR  [Fe/H]   v_r   +/-   v_LSR   c     e   r_c  r_h  r_t  lg(tc) lg(th)  mu_V   rho_0  nbss  sigma 	fbincore fbincore/rh
#	  					   kpc	  kpc	kpc   kpc   kpc		     				       km/s	     		      <--arcmin-->   lg10(yrs)	   V mag/  Lsun/  Leigh	Leigh	Mil/Leigh Milone
#	  									     				     	     								 sq. arcsec pc^3	
 NGC104    00 24 05.2  -72 04 51  305.90  -44.89    4.5   7.4   1.9  -2.6  -3.2   0.04 14.06 13.37  3.95  -9.42 -0.99  -0.76   -18.7  0.2  -28.0 2.03 n  0.09 0.40 2.79 42.86  7.96  9.48  14.43   4.81	 62     11.5	0.055	0.018	26
 NGC1261   03 12 15.3  -55 13 01  270.54  -52.13   16.4  18.2   0.1 -10.1 -12.9   0.01 16.70 16.10  8.29  -7.81 -0.71  -1.35    68.2  4.6   53.4 1.27 n  0.07 0.39 0.75  7.28  8.74  9.20  17.65   2.96	 56  	10.0	0.046	0.064	 8
 NGC1851   05 14 06.3  -40 02 50  244.51  -35.04   12.1  16.7  -4.3  -8.9  -6.9   0.02 16.09 15.47  7.14  -8.33 -0.36  -1.22   320.5  0.6  301.7 2.32 n  0.05 0.06 0.52 11.70  6.98  8.85  14.15   5.32	 34  	10.4	1.00	1.00 	 9
 NGC2298   06 48 59.2  -36 00 19  245.63  -16.01   10.7  15.7  -4.3  -9.4  -3.0   0.14 16.11 15.59  9.29  -6.30  0.93  -1.85   148.9  1.2  129.8 1.28 n  0.08 0.34 0.78  6.48  8.03  8.70  18.79   2.91  27  	10.0 	0.154	0.112	 0
 NGC3201   10 17 36.8  -46 24 40  277.23    8.64    5.0   8.9   0.6  -4.9   0.8   0.23 14.77 14.21  6.75  -7.46  0.08  -1.58   494.0  0.2  481.9 1.30 n  0.12 1.43 2.68 28.45  8.78  9.20  18.77   2.73	 40  	 5.2	0.128	1.008	13
 NGC4147   12 10 06.2  +18 32 31  252.85   77.19   19.3  21.3  -1.3  -4.1  18.8   0.02 17.01 16.48 10.32  -6.16  0.55  -1.83   183.2  0.7  186.5 1.80 n  0.08 0.10 0.43  6.31  7.49  8.67  17.63   3.48	 16  	 2.6	0.262	0.034	10
 NGC4590   12 39 28.0  -26 44 34  299.63   36.05   10.2  10.1   4.1  -7.1   6.0   0.05 15.68 15.19  7.84  -7.35  0.17  -2.06   -94.3  0.4  -96.2 1.64 n  0.05 0.69 1.55 30.34  8.67  9.29  18.67   2.54	 29  	 2.5	0.114	0.080	13
 NGC5024   13 12 55.3  +18 10 09  332.96   79.76   17.8  18.3   2.8  -1.4  17.5   0.02 16.81 16.31  7.61  -8.70  0.81  -1.99   -79.1  4.1  -71.5 1.78 n  0.01 0.36 1.11 21.75  8.76  9.66  17.39   3.05	 57  	10.0	0.087	0.056	23
 NGC5139   13 26 45.9  -47 28 37  309.10   14.97    5.3   6.4   3.2  -3.9   1.4   0.12 14.53 13.97  3.68 -10.29  0.19  -1.62   232.3  0.5  229.4 1.61 n  0.17 1.40 4.18 57.03  9.05 10.00  16.77   3.37  49  	16.8	1.00 	1.00	 0
 NGC5272   13 42 11.2  +28 22 32   42.21   78.71   10.4  12.2   1.5   1.4  10.2   0.01 15.68 15.12  6.19  -8.93  0.08  -1.57  -147.6  0.2 -137.0 1.84 n  0.04 0.55 1.12 38.19  8.84  9.35  16.34   3.51	 74  	 5.5	0.054	0.024	 0
 NGC5286   13 46 26.5  -51 22 24  311.61   10.57   11.0   8.4   7.2  -8.1   2.0   0.24 16.50 15.95  7.34  -8.61  0.80  -1.67    57.4  1.5   54.7 1.46 n  0.12 0.29 0.69  8.36  8.41  9.02  16.07   4.17	 82  	 8.1	1.00	1.00     0
 NGC5466   14 05 27.3  +28 32 04   42.15   73.59   15.9  16.2   3.3   3.0  15.2   0.00 16.47 16.00  9.04  -6.96  0.58  -2.22   107.7  0.3  119.7 1.32 n  0.11 1.64 2.25 34.24  9.56  9.75  21.28   0.88	 30  	 1.7	0.142	0.110	 0
 NGC5904   15 18 33.8  +02 04 58    3.86   46.80    7.5   6.2   5.1   0.3   5.4   0.03 15.07 14.46  5.65  -8.81  0.31  -1.27    52.6  0.4   65.7 1.83 n  0.14 0.42 2.11 28.40  8.26  9.53  16.05   3.91	 37  	 5.7	0.060	0.024	15
 NGC5927   15 28 00.5  -50 40 22  326.60    4.86    7.6   4.5   6.3  -4.2   0.6   0.45 16.55 15.81  8.01  -7.80 -1.00  -0.37  -107.5  1.0 -106.3 1.60 n  0.04 0.42 1.15 16.68  8.29  8.98  17.45   3.87	 28  	10.0	1.004	0.052	16
 NGC5986   15 46 03.5  -37 47 10  337.02   13.27   10.4   4.8   9.3  -4.0   2.4   0.28 16.52 15.96  7.52  -8.44  0.97  -1.58    88.9  3.7   94.3 1.22 n  0.06 0.63 1.05 10.52  8.94  9.23  17.56   3.32	 57  	10.0	0.048	0.010	12
 NGC6093   16 17 02.5  -22 58 30  352.67   19.46   10.0   3.8   9.4  -1.2   3.3   0.18 16.10 15.56  7.33  -8.23  0.93  -1.75     8.2  1.5   18.6 1.95 n  0.00 0.15 0.65 13.28  7.73  8.86  15.19   4.76	 79  	12.4	1.00	1.00 	15
